id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
291596,that's a nail,MOT,Mother,nail,object,be
291604,a nail or a screw,MOT,Mother,nail,object,NA
307547,Child I think your nails needta be cut off they're scratching me,MOT,Mother,nail,body part,NA
307566,should we cut your nails,MOT,Mother,nail,body part,cut
307626,I know you like to cut with paper and scissors but we don't have time right now because it's almost time to go to school but I could cut your nails,MOT,Mother,nail,body part,cut
311065,must be a little nail sticking up,MOT,Mother,nail,body part,NA
311308,it's probably from the nails on the floor,MOT,Mother,nail,body part,cut
314918,and he won't let me cut his toe nails,MOT,Mother,nail,body part,cut
367175,there's nails on there,INV,Investigator,nail,NA,NA
367240,oh the nails in the bed,INV,Investigator,nail,NA,NA
367265,you mean there's nails that hurt him,INV,Investigator,nail,NA,NA
367312,I can't see any nails that hurt him,INV,Investigator,nail,NA,NA
373294,they put nails in the boards and they sawed up some wood,INV,Investigator,nail,object,put in
374918,a nail,INV,Investigator,nail,body part,NA
376838,with that nail,INV,Investigator,nail,NA,NA
519429,your toe nail going to xxx,MCH,Child,nail,body part,NA
522746,do you bite your nails Roland,TEA,Teacher,nail,body part,bite
522803,you better stop biting your nails,TEA,Teacher,nail,body part,bite
522938,don't bite your nails Roland,TEA,Teacher,nail,body part,bite
548221,put the wheel there and then put the nails,TEA,Teacher,nail,body part,put
548240,stick the nail in,TEA,Teacher,nail,body part,stick in
558639,see my nail,FCH,Child,nail,NA,NA
558678,my brother got his nail like mine,FCH,Child,nail,body part,have
562725,now let's hear if we can hear these sounds we'll see who has nails or not,TCA,Adult,nail,body part,have
562752,no no no not the fingers just our finger nails,TCA,Adult,nail,body part,NA
562785,if we don't have finger nails that are long we should just about hear nothing I can hear some children need a have their fingernails cut,TCA,Adult,nail,body part,have
622305,my nails,SIS,Sister,nail,NA,NA
622319,mommy xxx how my nails are,SIS,Sister,nail,NA,NA
622358,your nails,SIS,Sister,nail,NA,NA
622421,mommy I can get that stuff that that's like dat you put it on and your nails get real long have you heard about that one,SIS,Sister,nail,body part,NA
622509,it's a false nail,MOT,Mother,nail,body part,be
622633,just let your nails grow naturally,MOT,Mother,nail,body part,let
625305,I don't think it's funny and he stick his nails in you,BRO,Brother,nail,body part,stick in
630717,naw I don't think you could either I don't think I don't think this little nail can support forty pounds,EXP,Investigator,nail,NA,NA
663422,you have nail,BRO,Brother,nail,NA,NA
663436,I could use a nail,BRO,Brother,nail,NA,NA
665302,you got a nail there,EXP,Investigator,nail,NA,NA
677239,Samantha I have no nails how could I scratch you,FAD,Adult,nail,body part,have
679512,oh that's on your finger nail,FCH,Child,nail,body part,be on
682076,xxx he gets it in his nails what he draws,FCH,Child,nail,body part,get in
695799,I have my foot on the nail and you squish it in the door,BRO,Brother,nail,NA,NA
709997,I have a nail tack,FCH,Child,nail,object,have
710045,I have a nail tack,FCH,Child,nail,object,have
727279,toe nail clipper,MOT,Mother,nail,body part,NA
727444,you need the toe nail clipper,BRO,Brother,nail,body part,NA
727513,they need the toe nail clipper,BRO,Brother,nail,body part,NA
727562,you need a toe nail clipper,BRO,Brother,nail,body part,NA
727699,do you you need a toe nail clipper,BRO,Brother,nail,body part,NA
727807,I'm gonna clip my nails,BRO,Brother,nail,body part,clip
746389,then why are you biting your nails,MOT,Mother,nail,body part,bite
778742,oh let me take these nail clippers,FAT,Father,nail,body part,NA
779274,if you brush your teeth you hafta give Daddy the nail clipper,FAT,Father,nail,body part,NA
779763,nail clippers,FAT,Father,nail,body part,NA
780983,your nails are getting good and strong,FAT,Father,nail,body part,NA
781606,and I need a board too to nail on to to hook it up for him,MOT,Mother,nail,object,NA
781682,it is a nail clipper,FAT,Father,nail,body part,NA
782026,with the nail clipper,FAT,Father,nail,body part,NA
782221,I know you would like that nail clipper so much,FAT,Father,nail,body part,NA
812726,a nail that's right,MOT,Mother,nail,object,NA
812738,can I have the nail,MOT,Mother,nail,NA,NA
812758,let me have the other part of the nail,MOT,Mother,nail,NA,NA
812842,oh can I have that other nail,MOT,Mother,nail,NA,NA
815313,yes those nails are falling down,MOT,Mother,nail,object,NA
815435,you've got blue clay under your finger nails,MOT,Mother,nail,body part,NA
825895,yes some nails,MOT,Mother,nail,NA,NA
825910,the nail,NON,Grandfather,nail,NA,NA
833869,that's a nail,MOT,Mother,nail,NA,NA
833882,let's see if the magnet catches the nail,MOT,Mother,nail,object,catch
841900,well you know what we need some kind of nail,MOT,Mother,nail,NA,NA
845794,hang it up on this nail,MOT,Mother,nail,object,hang on
856755,there's a little nail to fix it with,MOT,Mother,nail,object,fix with
860724,let's cut the nail on your thumb,MOT,Mother,nail,body part,cut
860757,did I cut all your nails now,MOT,Mother,nail,body part,cut
862103,do you have your nail polish on,INT,Teacher,nail,body part,NA
947172,why don't we nail it,FAT,Father,nail,object,NA
947199,it'll work better if we nail it,FAT,Father,nail,object,NA
984249,you got a nail through it,FAT,Father,nail,object,get through
1045529,when he looks into the mirror he might notice his hair needs a trim so he'll probably ask for a pair of nail scissors,MOT,Mother,nail,body part,NA
1107970,I don't know if it's to polish your nails,MOT,Mother,nail,body part,polish
1139837,they were very horse like with graceful bodies horse like tails and hoof like toes for running instead of claws or nails,MOT,Mother,nail,body part,NA
1139847,they had nails instead of hooves,MOT,Mother,nail,body part,have
1163186,actually all of them are growing pretty good but you gotta stop biting your nails Chi,MOT,Mother,nail,body part,bite
1163415,maybe we'll do one and that nail because your nails needta grow a little bit longer,MOT,Mother,nail,body part,do
1163512,well not tomorrow I won't paint your nails but the next one coming up,MOT,Mother,nail,body part,paint
1398920,how did we start talking about nails,MOT,Mother,nail,body part,talk about
1437797,little nails,MOT,Mother,nail,NA,NA
1445892,will you please stop picking at your nails,INV,Investigator,nail,body part,pick at
1488831,and did he have nails,MOT,Mother,nail,body part,have
1514221,do you need a nail clipper,MOT,Mother,nail,body part,NA
1522228,and she has oh she has nails,MOT,Mother,nail,NA,NA
1579833,you have a broken finger nail,PAT,Investigator,nail,body part,have
1612261,did she say nails,INV,Investigator,nail,NA,NA
1613103,and some nails and soon she made a little,MOT,Mother,nail,object,NA
1613105,some nails,INV,Investigator,nail,object,NA
1613109,nails,MOT,Mother,nail,object,NA
1616908,nails,MOT,Mother,nail,NA,NA
1616974,what did he pound his nails with,MOT,Mother,nail,object,pound
1618587,and she got some wood and a hammer and some nails and soon she had made,MOT,Mother,nail,object,NA
1638387,to pound nails in with the hammer,MOT,Mother,nail,object,pound
1640851,for hammering nails,MOT,Mother,nail,object,hammer
1670103,well my toe nail just,LOI,Investigator,nail,body part,NA
1687981,I caught by finger nail in the rug,PAT,Investigator,nail,body part,catch
1687985,it's just my finger nail honey,PAT,Investigator,nail,body part,be
1688340,hammer the nails,MOT,Mother,nail,object,hammer
1690786,lip gloss blush cologne eye shadow lipstick nail polish how about that,MOT,Mother,nail,body part,NA
1704861,no you don't have a nail in there,MOT,Mother,nail,NA,NA
1704923,Robie's nail,MOT,Mother,nail,NA,NA
1705729,Mr Bear picked up the nails and carried them back to the woods,MOT,Mother,nail,object,pick up
1711620,where are your nails that you can hammer,PAT,Investigator,nail,object,be
1714014,cut finger nails,MOT,Mother,nail,body part,cut
1715709,oh is there a nail there,MOT,Mother,nail,NA,NA
1715725,your book is in the same place is there a nail there,MOT,Mother,nail,NA,NA
1737662,oh it's not a nail clippers,MOT,Mother,nail,body part,NA
1738185,well didn't you say there was a nail in there,MOT,Mother,nail,NA,NA
1738668,I have a nail file,URS,Investigator,nail,NA,NA
1742570,you don't put nails in like that,MOT,Mother,nail,NA,NA
1742599,when you're building things you use nails,MOT,Mother,nail,object,use
1745550,you had a nail didn't you,MOT,Mother,nail,NA,NA
1745662,you left a nail,MOT,Mother,nail,object,leave
1745700,you lost a nail,MOT,Mother,nail,object,lose
1755707,knocking on the nail,MOT,Mother,nail,object,knock on
1794893,here's a nail would you like to try,MOT,Mother,nail,object,be
1834953,you can't put that's not a pin that's a nail,MOT,Mother,nail,object,be
1836842,does he have nails,GLO,Investigator,nail,NA,NA
1852628,isn't that dangerous Sarah that nail sticking out there,GLO,Investigator,nail,object,NA
1886872,it had cologne in it and powder and lipstick and everything in it nail polish,MOT,Mother,nail,body part,NA
1886977,but wh the other that nail polish was real,MOT,Mother,nail,body part,NA
1909063,I'll cut your nails,FAT,Father,nail,body part,cut
1916915,oh nail polish,GAI,Investigator,nail,body part,NA
1919491,that nail polish that's real nail polish,MOT,Mother,nail,body part,NA
1919529,may I put nail polish on,MOT,Mother,nail,body part,NA
1938033,yeah it's a little nail,FAT,Father,nail,object,be
2070696,look at that nail,FAT,Father,nail,object,look at
2076409,bite your finger nails off,FAT,Father,nail,body part,bite off
2078531,nails,MOT,Mother,nail,object,NA
2078858,you put it on with a nail,MOT,Mother,nail,object,NA
2079100,got to take that nail out must be going in the wrong place,MOT,Mother,nail,object,take out
2079239,okay now try see if you can get the nail,MOT,Mother,nail,object,get
2079463,screw in that nail,MOT,Mother,nail,object,screw in
2079487,well I think we pound nails with a hammer,MOT,Mother,nail,object,pound
2079813,well he hammers nails and he turns the screws with the screwdriver hammers nail with a hammer,MOT,Mother,nail,object,hammer
2088785,can you hammer that nail in,MOT,Mother,nail,object,hammer
2088829,this is a nail like Grampa has when he builds a house,MOT,Mother,nail,object,be
2088863,nail,MOT,Mother,nail,object,NA
2089470,can you paint my finger nails,MOT,Mother,nail,body part,paint
2089499,paint my finger nails,MOT,Mother,nail,body part,paint
2089819,oh see there's more nails,MOT,Mother,nail,object,be
2106954,here's a nail and there's a xxx xxx,MOT,Mother,nail,NA,NA
2125851,make me clip them nails while you sleep,MOT,Mother,nail,body part,clip
2131940,the pinkie toe has got a big nail,MOT,Mother,nail,body part,have
2136344,oh it's got a big nail on it,MOT,Mother,nail,body part,have
2150642,thought I xxx my nails was growing Moosh,MOT,Mother,nail,body part,NA
2171210,Mommy hasta clip your nails a little bit because they're very long,MOT,Mother,nail,body part,clip
2172533,do we clip your nails,MOT,Mother,nail,body part,clip
2172582,do we clip your nails,MOT,Mother,nail,body part,clip
2172603,nail clippers,MOT,Mother,nail,body part,NA
2172802,it's for Mommy to use on Timmy's nails,MOT,Mother,nail,body part,use on
2172829,Mommy uses that on Timmy's nails and I let you hold them after I'm done,MOT,Mother,nail,body part,use on
2196211,I think my nails pinched it,MOT,Mother,nail,body part,NA
2196219,did my nail stick you,MOT,Mother,nail,body part,NA
2207434,oh your nail broke,MOT,Mother,nail,body part,NA
2207621,got some long nails,MOT,Mother,nail,body part,have
2207684,you clip your nails don't ya,MOT,Mother,nail,body part,clip
2207734,Mommy clip her nails too,MOT,Mother,nail,body part,clip
2207741,Mommy and Daddy clip their nails too,MOT,Mother,nail,body part,clip
2208062,that's called a nail brush,MOT,Mother,nail,body part,NA
2208069,that's called a nail brush,MOT,Mother,nail,body part,NA
2233598,no we're not gonna cut your nails,MOT,Mother,nail,body part,cut
2272461,my nails got bitten off,SIS,Sister,nail,body part,bite off
