id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
9945809,shall we find a baby lamb,MOT,Mother,lamb,animal,NA
8391856,little lamb says please,MOT,Mother,lamb,animal,NA
2246295,Mary's little lamb,MOT,Mother,lamb,animal,NA
1619766,Mary had a little lamb,MOT,Mother,lamb,animal,NA
2603146,they both have wooly coats just like their baby lamb,MOT,Mother,lamb,animal,NA
9172584,is it a chicken kebob or a lamb kebob,MOT,Mother,lamb,food,NA
17104116,remember this one where the sheep goes with the lamb,MOT,Mother,lamb,animal,NA
1194540,now I know Mary's little lamb followed her to school but I didn't know about the dog,MOT,Mother,lamb,animal,NA
2761803,those he seems he chews on the lamb a lot,MOT,Mother,lamb,food,NA
10016517,now you've got to find the baby lambs,MOT,Mother,lamb,animal,NA
2673307,they both have wooly coats just like their baby lamb,MOT,Mother,lamb,animal,NA
7970018,think the baby lamb is lost Becky,MOT,Mother,lamb,animal,NA
2687744,just like their little baby lamb,MOT,Mother,lamb,animal,NA
2327766,a lamb is a baby sheep,MOT,Mother,lamb,animal,NA
2642551,they both have wooly coats just like their baby lamb,MOT,Mother,lamb,animal,NA
621017,oh lamb chops,EXP,Investigator,lamb,food,NA
2188010,how does fuzzy tail lamb wake up,MOT,Mother,lamb,animal,NA
2600005,just like their baby lamb,MOT,Mother,lamb,animal,NA
8840151,and it has got mint which we have with lamb,MOT,Mother,lamb,food,NA
2383307,lamb go to sleep,FAT,Father,lamb,animal,NA
2619158,they both have wooly coats just like their baby lamb,MOT,Mother,lamb,animal,NA
8277614,do you remember when the little lambs came out and the the other children were feeding the lambs with the milk bottles,MOT,Mother,lamb,animal,NA
1150131,look at the little lamb isn't he adorable,MOT,Mother,lamb,animal,NA
2609258,they both have wooly coats just like their baby lamb,MOT,Mother,lamb,animal,NA
2392851,the lamb is looking a donkey,FAT,Father,lamb,animal,NA
2377117,your lamb wants some coffee too,MOT,Mother,lamb,animal,NA
2377728,doggie doggie baby lamb kitty doggie doggie bunny elephant bear and lamb,MOT,Mother,lamb,animal,NA
