id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
304950,I hafta put my glasses on,INV,Investigator,glasses,eye,put on
311547,I'm taking my glasses off now,INV,Investigator,glasses,eye,take off
320246,well I think the one with the glasses is Charles,MOT,Mother,glasses,eye,NA
320255,see his glasses,MOT,Mother,glasses,eye,see
340779,and we don't say cup she doesn't use a cup she uses either a bottle or well kind of a glass but she doesn't use that word there's something else in there spoon she knows um,MOT,Mother,glasses,drinking,NA
344394,some well she has some things I call cups and others that I call glasses,MOT,Mother,glasses,drinking,be called
345514,she likes glasses and cups,MOT,Mother,glasses,drinking,like
347284,like um well she'll unload the dish+washer for me you know plate by plate glass by glass,MOT,Mother,glasses,drinking,NA
348585,she doesn't eat out_of glass bowls the big bowls like that and we really have a lot more plates than we have of bowls her her dish is a plastic dish with the three sections in it or a wooden bowl it's a very flat wooden bowl she eats soup out_of the plastic three sectioned plastic bowl but it's a whole different very obvious bowl and she does eat soup out_of it,MOT,Mother,glasses,drinking,NA
350795,wearing glasses daddy's driving the car and then we'll put a hoe and a sprinkler there's part of the hoe oh you want a hoe and a sprinkler down here,INV,Investigator,glasses,eye,wear
351290,well wait first let's wash that out cause that glass is all dirty,INV,Investigator,glasses,NA,NA
351367,well now it's all empty that's hot water Shem you don't wanna drink that here you want me to get you a clean glass,INV,Investigator,glasses,drinking,get
351446,that's hot right I'll get you a clean glass and then you can have some cold water here how about this glass,INV,Investigator,glasses,drinking,get
351763,okay is this your glass Shem,INV,Investigator,glasses,NA,NA
356367,I'll just have water ca you can't reach the glasses,INV,Investigator,glasses,drinking,reach
356389,oh no you can't reach the glasses well here you have a glass for milk,INV,Investigator,glasses,drinking,reach
356621,take out the juice get a glass,INV,Investigator,glasses,drinking,get
357288,he's looking at him at this snake through a magnifying glass,INV,Investigator,glasses,NA,NA
359706,yeah you can drink it out_of the bottle sometimes sometimes you can drink it out_of a glass or a cup,INV,Investigator,glasses,drinking,drink out of
360098,said ma dog Dudley looked through his magnifying glass for clues,MOT,Mother,glasses,NA,NA
360990,okay you can't run around there because there's broken glass see,INV,Investigator,glasses,NA,NA
361046,see there's broken glass all around though oh Shem did your kitty scratch you again on the leg,INV,Investigator,glasses,NA,NA
361437,here daddy's gonna let you have his glass here you wanna sit here and watch daddy unload the groceries,INV,Investigator,glasses,NA,NA
363832,g for glass,INV,Investigator,glasses,NA,NA
363859,that's a glass guhh guhh g guhh guhh whale,INV,Investigator,glasses,NA,NA
365150,but there's a glass window so he can't get it right,INV,Investigator,glasses,NA,NA
365394,oh glass right,INV,Investigator,glasses,NA,NA
365400,he can't reach through the glass that's right,INV,Investigator,glasses,NA,NA
365430,so they put a glass window in front of him,INV,Investigator,glasses,NA,NA
365461,no I don't think there's gonna be any holes in the glass,INV,Investigator,glasses,NA,NA
365476,pretty hard to make holes in in glass,INV,Investigator,glasses,NA,NA
366101,look at these glasses,INV,Investigator,glasses,NA,NA
368269,that's a g like in glass,MRX,Adult,glasses,NA,NA
371718,your glasses,INV,Investigator,glasses,eye,NA
371914,so you can't find your glasses,INV,Investigator,glasses,eye,find
371989,do you wanna have a glass of juice at my house,INV,Investigator,glasses,drinking,have
372207,here's some glasses,INV,Investigator,glasses,eye,be
372222,are these your glasses,INV,Investigator,glasses,eye,be
372333,how come his glasses came off,INV,Investigator,glasses,eye,NA
372346,then we're gonna have a glass of juice,INV,Investigator,glasses,drinking,have
375088,so there's a glass,INV,Investigator,glasses,drinking,be
375101,you needta get a glass,INV,Investigator,glasses,drinking,get
375648,oh this is glass,INV,Investigator,glasses,NA,NA
375687,it went prong and all the glass went boom,INV,Investigator,glasses,drinking,NA
378328,you falled down and break the glass one time,INV,Investigator,glasses,drinking,break
