id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
295852,mommy lost a button,MOT,Mother,button,NA,NA
296150,this button is hard,MOT,Mother,button,NA,NA
300084,oh she's got a squeaky belly button oh,MOT,Mother,button,NA,NA
306201,you push the buttons,INV,Investigator,button,tech,push
306248,what do you see on the screen when you push the buttons Child,MOT,Mother,button,tech,push
306443,your belly button,MOT,Mother,button,NA,NA
310717,what's that button do,MOT,Mother,button,NA,NA
310855,don't keep putting the bush pushing the buttons on it,MOT,Mother,button,tech,push
314139,see it has all the push buttons,MOT,Mother,button,NA,NA
314246,no the button goes this way,MOT,Mother,button,NA,NA
314721,buttons,MOT,Mother,button,NA,NA
314764,what'd the buttons do,MOT,Mother,button,NA,NA
322677,press that button,MOT,Mother,button,tech,press
323364,press the button,MOT,Mother,button,tech,press
323614,which button do you press,MOT,Mother,button,tech,press
323630,no that's the stop button,MOT,Mother,button,tech,be
323647,which is the play button,MOT,Mother,button,tech,be
324288,button,MOT,Mother,button,NA,NA
324292,button,MOT,Mother,button,NA,NA
324296,button,MOT,Mother,button,NA,NA
324616,has buttons,MOT,Mother,button,NA,NA
325949,buttons to push ya calling somebody up,MOT,Mother,button,tech,NA
326039,oh ya like those buttons huh,MOT,Mother,button,NA,NA
327801,press the snap button,MOT,Mother,button,tech,press
327812,where's your snap button,MOT,Mother,button,tech,be
328594,alright look that's a button,MOT,Mother,button,clothing,be
328600,you know how buttons go,MOT,Mother,button,clothing,NA
329196,would ya like to do Humpty Dumpty's button,MOT,Mother,button,NA,NA
329200,can ya do his button,MOT,Mother,button,NA,NA
329210,button,MOT,Mother,button,clothing,NA
329223,yeah the button doesn't work the same way ya hafta put it through the hole,MOT,Mother,button,clothing,NA
330096,I lost a button off her off her shoe,MOT,Mother,button,clothing,lose
333510,push the buttons,MOT,Mother,button,clothing,push
333688,would you stop pushing my buttons,INV,Investigator,button,NA,NA
333711,Child I know it's hard to keep your fingers off but I don't want you to touch the buttons,MOT,Mother,button,NA,NA
334566,we don't have push buttons at home,MOT,Mother,button,NA,NA
334643,can you push the buttons,MOT,Mother,button,NA,NA
334655,you know how to push buttons no,MOT,Mother,button,NA,NA
335505,you push on the button push,MOT,Mother,button,NA,NA
335531,you want me to open the yellow button,MOT,Mother,button,NA,NA
335553,are ya gonna button the button,MOT,Mother,button,NA,NA
335664,shall I button his button,MOT,Mother,button,NA,NA
335672,or do you wanna button his button,MOT,Mother,button,NA,NA
335971,he has buttons he has shoes where're his shoes,MOT,Mother,button,clothing,have
335976,you want the button,MOT,Mother,button,clothing,want
336160,that's fun isn't it those buttons,MOT,Mother,button,NA,NA
337441,well you push the buttons,MOT,Mother,button,NA,NA
338003,she has dial phones at home and our phones all have dials we don't have push buttons,MOT,Mother,button,tech,have
338627,but you hafta push the other button too,MOT,Mother,button,tech,push
338768,push this button,MOT,Mother,button,tech,push
339163,no don't touch the buttons or it won't work,INV,Investigator,button,NA,NA
339183,don't touch the buttons,MOT,Mother,button,NA,NA
339638,those buttons we don't push,MOT,Mother,button,NA,NA
339649,your buttons we can push,MOT,Mother,button,NA,NA
339702,I don't push the buttons on your radio,INV,Investigator,button,tech,push
339908,push the button honey please,MOT,Mother,button,NA,NA
340022,okay push the play button,MOT,Mother,button,tech,push
340033,you've got two buttons down at once,MOT,Mother,button,NA,NA
340099,don't touch those buttons,MOT,Mother,button,NA,NA
340672,go ahead you can push the buttons oh,MOT,Mother,button,NA,NA
340938,that's a nice push button phone,MOT,Mother,button,tech,push
340989,she seemed to know the difference between buttons and snaps,NAN,Investigator,button,clothing,NA
340994,yeah she knows buttons and snaps,MOT,Mother,button,clothing,know
342142,buttons,MOT,Mother,button,clothing,NA
342905,and a belly button too,MOT,Mother,button,NA,NA
345238,most of her dresses have buttons in back,MOT,Mother,button,clothing,have
345250,um her nightgowns that have buttons in front I hafta to pin closed,MOT,Mother,button,clothing,have
345675,button button,MOT,Mother,button,clothing,NA
346196,press this button press it hard,INV,Investigator,button,NA,NA
346507,yeah remembered just what buttons to push,INV,Investigator,button,tech,NA
346513,use this button,INV,Investigator,button,NA,NA
347145,okay press another button,INV,Investigator,button,NA,NA
347154,press this button know what those are,INV,Investigator,button,NA,NA
347209,yeah they're buttons when you press them what happens,INV,Investigator,button,NA,NA
349638,but nothing happens when you press the buttons though,INV,Investigator,button,NA,NA
350616,we make a knot in the thread and find the place on the sweater where the button was and go like this,INV,Investigator,button,clothing,NA
350644,then we take the button push it through,INV,Investigator,button,NA,NA
350737,buttons,INV,Investigator,button,NA,NA
350811,it will hurt if I put it in the button,INV,Investigator,button,NA,NA
350848,oh no it's not hurting the button it's not hurting me either,INV,Investigator,button,NA,NA
351000,and the button is all sewed on see,INV,Investigator,button,NA,NA
351013,now you can button it you don't have any buttons on your clothes wanna see the dog,INV,Investigator,button,clothing,have
351165,no no no better not do that button,INV,Investigator,button,NA,NA
351254,these are buttons for other things this is to make it go backwards,INV,Investigator,button,tech,be
351276,there is a button there's a button here here here we can touch them really lightly very lightly here I'll let you touch one you wanta touch one,INV,Investigator,button,NA,NA
353337,we forgot to put a shirt on so first we'll button this up and then we'll put a shirt on and then we can do the top see,INV,Investigator,button,NA,NA
360375,those are buttons right,INV,Investigator,button,NA,NA
361008,my belly buttons right here let's see yours,INV,Investigator,button,NA,NA
361474,the minute I leave she's over there playing with the buttons xxx,MOT,Mother,button,clothing,play with
361491,all these toys but xxx with the buttons on the tv xxx and the lightness and darkness and turn it on and off,MOT,Mother,button,tech,NA
361538,it's a button,INV,Investigator,button,NA,NA
361573,button,INV,Investigator,button,NA,NA
361582,that's a button,INV,Investigator,button,NA,NA
361629,no it's a different kind of button there's three kinds of buttons one is the kind you put on your shirt and one is the kind that you push it like in my calculator do you remember my calculator,INV,Investigator,button,clothing,be
361672,you push a button and the numbers appear,INV,Investigator,button,tech,push
361707,well it's about to come off it's dangling it's a loose button,INV,Investigator,button,clothing,be
361718,you push a button and the numbers appear,INV,Investigator,button,tech,push
361764,then stand up and pull them on now you can press the little button,INV,Investigator,button,NA,NA
361778,it's not here right now I didn't bring it and then there's this kind of button a button on a chair,INV,Investigator,button,NA,NA
362666,no it's night+time silly here let's button up your pajamas,INV,Investigator,button,NA,NA
363996,we'll try it can you press the button,INV,Investigator,button,NA,NA
364437,you know which button to push,INV,Investigator,button,NA,NA
364548,it's right next to the green button,INV,Investigator,button,NA,NA
364854,you can't button it,INV,Investigator,button,NA,NA
364939,you wanna button it again,INV,Investigator,button,NA,NA
365011,see you hafta press the buttons that have the numbers on them like that see,INV,Investigator,button,tech,press
365752,okay don't touch the buttons,MOT,Mother,button,,NA
367924,it's a button to turn it off,INV,Investigator,button,tech,be
367955,you wanna button it,INV,Investigator,button,NA,NA
369726,don't play with those buttons,FAT,Father,button,NA,NA
369818,if you push the buttons,MOT,Mother,button,NA,NA
371041,Shem don't press the buttons huh,MOT,Mother,button,tech,press
371121,you were pressing that little button so the letters would go around,MOT,Mother,button,tech,press
371150,if you press any of those buttons you will mess up Cindy's work,MOT,Mother,button,tech,press
379069,what dese buttons for,JEM,Child,button,NA,NA
382175,here's a belly button,INV,Investigator,button,NA,NA
382241,here's the buttons on his shirt,INV,Investigator,button,clothing,be
382442,what about the buttons,MOT,Mother,button,NA,NA
382500,it has handles and buttons,MOT,Mother,button,NA,NA
448418,you like those buttons,MOT,Mother,button,NA,NA
457931,I see your belly button,MOT,Mother,button,NA,NA
459719,you press this little button here,MOT,Mother,button,NA,NA
459745,right here you press the little button,MOT,Mother,button,tech,press
480700,no no don't push those buttons,MOT,Mother,button,NA,NA
492363,don't touch the button,MOT,Mother,button,NA,NA
500440,where's the button,MOT,Mother,button,NA,NA
500981,where's the button,MOT,Mother,button,NA,NA
500989,here's the button,MOT,Mother,button,NA,NA
507422,awright now if you step over here then I will button this for you,EXP,Investigator,button,NA,NA
509773,oh pushing the button,EXP,Investigator,button,tech,push
510267,how did you button this up so fast,MOT,Mother,button,NA,NA
511832,hit the button,EXP,Investigator,button,NA,NA
512840,I can button the top one,MOT,Mother,button,NA,NA
513154,get the elevator button Erica,FAT,Father,button,tech,get
513322,cmon let me button that for you,MAD,Adult,button,NA,NA
513531,now he can't button the top,MOT,Mother,button,NA,NA
514593,one two three and he pushed one of duh buttons then he he xxx,SIS,Sister,button,NA,NA
515122,do button and what,SIS,Sister,button,NA,NA
520662,we can't button it,EXP,Investigator,button,NA,NA
520679,I'll button it,UNK,Unidentified,button,NA,NA
520754,uh buttons on this thing,EXP,Investigator,button,NA,NA
523334,and we'll button the shirt,EXP,Investigator,button,NA,NA
524041,xxx cold out here and Granny's buttons came off,FAD,Adult,button,clothing,NA
525554,okay Kim you can push the button now,EXP,Investigator,button,NA,NA
525964,because that's the button you pushed,EXP,Investigator,button,tech,be
535715,you press that white button the white button yeah,FCH,Child,button,NA,NA
536156,when you press this button then it cuts and cuts and cuts,FCH,Child,button,NA,NA
539996,pressing the button,EXP,Investigator,button,NA,NA
546096,don't take off the buttons,EXP,Investigator,button,NA,NA
546725,just one button,EXP,Investigator,button,NA,NA
548085,when the light went when you pushed the button the lights came on right,TEA,Teacher,button,tech,push
548322,does Mickey Mouse do anything when that light comes when you push that button,TEA,Teacher,button,tech,push
548374,does does Mickey Mouse do anything when you push the button,TEA,Teacher,button,tech,push
549791,I'll button it,FCH,Child,button,NA,NA
549845,I'll button it,FCH,Child,button,NA,NA
550997,because it won't button,EXP,Investigator,button,NA,NA
554410,when you push that button,EXP,Investigator,button,NA,NA
559411,button it,SIS,Sister,button,NA,NA
568565,she took a button off a her dress,MCH,Child,button,clothing,take off
568602,button off her dress,MCH,Child,button,NA,NA
568631,button off her dress,MCH,Child,button,NA,NA
569960,can you change the buttons to get stereo,TEA,Teacher,button,NA,NA
570110,help me button it,FCH,Child,button,NA,NA
581980,oh you want me to button those,EXP,Investigator,button,NA,NA
581999,mom Roland keep bothering nis button,SIS,Sister,button,NA,NA
583106,let's button this up,MOT,Mother,button,NA,NA
594980,no don't press the buttons on there Kim,EXP,Investigator,button,NA,NA
596682,xxx what was the button to push,MOT,Mother,button,NA,NA
600586,you're gonna pull a button off a there too Patrick no let go okay just yeah just sit there awright,EXP,Investigator,button,NA,NA
600822,well that radio has a special white wire I think and a little button at the end of the wire,MOT,Mother,button,tech,NA
614823,holding the button for you,FAD,Adult,button,NA,NA
615523,hey let me see that little button,MOT,Mother,button,NA,NA
617114,miss Mary Mack Mack sat on a doon black black black with silver buttons buttons buttons all down her back back back,SIS,Sister,button,NA,NA
617517,you're hearing it coming off of the tape now ei there's a button down there if I flip it the other way you'll hear it direct,EXP,Investigator,button,NA,NA
620626,um can't get this button done up,EXP,Investigator,button,NA,NA
621534,right above my belly button,MOT,Mother,button,NA,NA
621828,at his belly button,MOT,Mother,button,NA,NA
622326,well let me loosen the button,EXP,Investigator,button,NA,NA
622597,here let me get this other button,EXP,Investigator,button,clothing,get
624779,hee you know what the button said,MOT,Mother,button,NA,NA
652969,I can tickle your chichi buttons,FAT,Father,button,NA,NA
653662,just bang on that button,FAT,Father,button,tech,bang on
653796,can I tickle your chichi buttons,FAT,Father,button,NA,NA
653859,is that button make the light come on,FAT,Father,button,tech,NA
653862,I gonna tickle your chichi buttons,FAT,Father,button,NA,NA
653921,that button ring the bell,FAT,Father,button,tech,NA
654374,and I gonna tickle your chichi buttons,FAT,Father,button,NA,NA
654882,push the buttons,FAT,Father,button,tech,push
654891,push the buttons,FAT,Father,button,tech,push
654908,can you push the buttons,FAT,Father,button,tech,push
654941,put your head on the buttons,FAT,Father,button,tech,put on
654957,can you push the buttons now,FAT,Father,button,tech,push
654981,you learned to push the buttons with your hand,FAT,Father,button,tech,push
654990,how about the other button,FAT,Father,button,tech,mash
654991,you'll mash that button,FAT,Father,button,tech,mash
655015,next week Daddy is gonna put new buttons on it and new lights,FAT,Father,button,tech,put
655211,that button works the,FAT,Father,button,NA,NA
655246,turn your button,FAT,Father,button,tech,turn
655259,that button works the red light,FAT,Father,button,tech,NA
655272,when you hit that button it works the red light,FAT,Father,button,tech,hit
655285,there is the button for the bell,FAT,Father,button,tech,be
655362,gonna push your chichi buttons and make you laugh,FAT,Father,button,NA,NA
655397,I gonna push your chichi buttons and make you laugh,FAT,Father,button,NA,NA
656083,at pushing the buttons,FAT,Father,button,NA,NA
656187,I know I'll push your chichi buttons,FAT,Father,button,NA,NA
656800,you push the buttons on your tv,FAT,Father,button,tech,push
656810,how about the buttons on your box,FAT,Father,button,tech,NA
656841,push the button,FAT,Father,button,NA,NA
658028,I get to play chichi buttons,FAT,Father,button,NA,NA
658181,push the buttons,FAT,Father,button,NA,NA
658188,push the buttons,FAT,Father,button,NA,NA
658390,push that button and make that light,FAT,Father,button,tech,push
658440,you can hit the button,FAT,Father,button,tech,hit
658448,hit that button and make the red light,FAT,Father,button,tech,hit
658462,can you push the buttons,FAT,Father,button,tech,push
658475,push the button,FAT,Father,button,tech,push
658503,can you push the button,FAT,Father,button,NA,NA
659295,lemme have his button,BRO,Brother,button,clothing,have
659307,this button,BRO,Brother,button,clothing,NA
659310,get that button,BRO,Brother,button,clothing,get
659314,get this button,BRO,Brother,button,clothing,get
659653,you playing with the tv buttons,FAT,Father,button,tech,play with
659678,when I said buttons you went and pushed your buttons,FAT,Father,button,tech,push
659713,push those buttons,FAT,Father,button,tech,push
659783,there is that red button makes the red light come on,FAT,Father,button,tech,be
659791,that black button rings the doorbell,FAT,Father,button,tech,NA
659875,you do so well with those buttons,FAT,Father,button,NA,NA
661128,button the buttons,MOT,Mother,button,clothing,button
661136,button the buttons,MOT,Mother,button,clothing,button
661160,button the buttons,MOT,Mother,button,clothing,button
662704,alright don't touch the buttons,MOT,Mother,button,tech,touch
663193,why dei have buttons mommy,BRO,Brother,button,NA,NA
664869,then how about if I tickle your chichi buttons,FAT,Father,button,NA,NA
666534,where is your Busybox with the buttons and lights,FAT,Father,button,tech,NA
667953,and I gonna push your chichi buttons,FAT,Father,button,NA,NA
668291,I gonna push your chichi buttons,FAT,Father,button,NA,NA
668303,I can tickle your chichi buttons,FAT,Father,button,NA,NA
669103,I'll button it up,BRO,Brother,button,NA,NA
669113,button up your raincoat or you may get rain on your brain,BRO,Brother,button,NA,NA
670933,mom can't button panties,BRO,Brother,button,NA,NA
671143,did ju button your pants,MOT,Mother,button,NA,NA
672443,a button,EXP,Investigator,button,clothing,NA
672478,oh I wonder whose button that is,EXP,Investigator,button,clothing,NA
672521,a button,EXP,Investigator,button,clothing,NA
672544,has anybody lost a button,EXP,Investigator,button,clothing,lose
672553,did you loose a button,EXP,Investigator,button,clothing,lose
681192,one of your buttons popped,FAD,Adult,button,clothing,NA
681270,I'll just do up your button here okay,EXP,Investigator,button,NA,NA
681578,push that button,FAT,Father,button,tech,push
683632,push on that button,FAT,Father,button,NA,NA
685728,and the other thing I found out was your belly button,FAT,Father,button,NA,NA
685755,show me where is your belly button,FAT,Father,button,NA,NA
