id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
301566,draw one line like this and one like this,MOT,Mother,line,geometry,draw
304221,you see those little lines,MOT,Mother,line,geometry,see
306995,you're making a circle line boat,MOT,Mother,line,NA,NA
313271,see what happens when you're not feeling good see that red line,MOT,Mother,line,geometry,see
317824,you put them in a line one placed forward,MOT,Mother,line,order,put in
317841,can you put this one in a line,MOT,Mother,line,order,put in
337083,are you making a line,MOT,Mother,line,NA,NA
341916,can line them up,MOT,Mother,line,NA,NA
356597,fold back on the dotted line X,INV,Investigator,line,geometry,fold on
356965,yeah it's got a tractor and it looks like a sign painting thing you know that paints the lines on the street,INV,Investigator,line,geometry,paint
357059,paints lines on the street right,INV,Investigator,line,geometry,paint
357156,the line truck,INV,Investigator,line,NA,NA
357310,well right one of those lines,INV,Investigator,line,NA,NA
364754,he helped this little boy get his kite out_of the telephone lines do you know what a kite is,INV,Investigator,line,NA,NA
365118,the lines show up you can do it too,INV,Investigator,line,NA,NA
366738,I think we'll go stand in line at the good earth,MOT,Mother,line,order,stand in
366809,here we can get the line but see the fish can't go in the air up on the sidewalk here because he can't breathe then fish can only breathe in the water,INV,Investigator,line,NA,NA
376557,they have Mother's new dress on the line of the kites,INV,Investigator,line,NA,NA
378521,when I uh we drove back from New_York we hadta wait for an hour in line behind one car which had smashed into a signpost,INV,Investigator,line,order,wait in
379451,yeah so you gotta keep it going on a straight line right,INV,Investigator,line,geometry,go on
379748,maybe we can line up all these guys to be marching off to the farmhouse,INV,Investigator,line,NA,NA
393124,well they're attached to the line with clothes+pins,INV,Investigator,line,geometry,be attached to
421035,draw a line,MOT,Mother,line,geometry,draw
436697,straight lines,MOT,Mother,line,geometry,NA
437028,oh what nice lines,MOT,Mother,line,NA,NA
437215,you wanna make some lines,MOT,Mother,line,geometry,make
437268,you wanna make some lines,MOT,Mother,line,geometry,make
446346,can you line them up,MOT,Mother,line,NA,NA
446360,can you line them up like you do xxx,MOT,Mother,line,NA,NA
448640,I'll just make a line,MOT,Mother,line,NA,NA
459437,draw lines,MOT,Mother,line,geometry,draw
459460,you draw some lines,MOT,Mother,line,geometry,draw
459561,draw some more lines,MOT,Mother,line,geometry,draw
469870,can you make some lines on the paper,MOT,Mother,line,geometry,make
472281,let's do lines,MOT,Mother,line,geometry,do
472298,lines,MOT,Mother,line,geometry,NA
484780,and those squiggly lines,MOT,Mother,line,NA,NA
489375,what do you think those lines are,MOT,Mother,line,geometry,NA
