id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
17037233,I think the fish is kissing the cat,MOT,Mother,fish,animal,NA
8536234,Mrs Lineaker had a nice fish pond full of goldfish,MOT,Mother,fish,animal,NA
1368164,the shark will eat the fish,MOT,Mother,fish,animal,NA
9649839,I think it's gonna eat that fish because look that fish looks really scared doesn't it,MOT,Mother,fish,animal,NA
362531,fish sleep among the green water ferns with their eyes and mouths wide open fish sleep with their eyes open isn't that funny,INV,Investigator,fish,animal,NA
2131242,the fish are having breakfast,MOT,Mother,fish,animal,NA
819577,fish that jumped,MOT,Mother,fish,animal,NA
2303224,I think Laura another fish might have died,MOT,Mother,fish,animal,NA
16855735,that's a different place and we can see lots_of fish we could see whales and dolphins too and some penguins,MOT,Mother,fish,animal,NA
8504366,it's a fish swimming in the sea,MOT,Mother,fish,animal,NA
571486,I would not like would not any hamburger but may I have some fish,BRO,Brother,fish,food,NA
9814572,daddy said you're not sposta feed the fish,MOT,Mother,fish,animal,NA
8709587,there's a big car going backwards like a fish,MOT,Mother,fish,animal,NA
10085572,the fish aren't biting,INV,Investigator,fish,animal,NA
729812,oo I caught a fish,MCH,Child,fish,animal,NA
9957181,penguin eats fish,MOT,Mother,fish,animal,NA
9642461,it's jumping with those other fish isn't it,MOT,Mother,fish,animal,NA
2099516,a gold fish,MOT,Mother,fish,animal,NA
8184548,you can have some fish and chips,MOT,Mother,fish,food,NA
10014146,we've got chicken cake peas potatoes toast meat fish,MOT,Mother,fish,food,NA
9692810,why is the fish scared,MOT,Mother,fish,animal,NA
8305707,we saw lots_of fish in that pet shop didn't we at the weekend,MOT,Mother,fish,animal,NA
10030263,one of the fish bit me on the head,MOT,Mother,fish,animal,NA
8501029,there are three fish swimming on the case,MOT,Mother,fish,animal,NA
2131087,hey you wanna come give the fish their breakfast,MOT,Mother,fish,animal,NA
1750358,yes there are fish down in the water,MOT,Mother,fish,animal,NA
759799,how can you make it easy to catch a fish every time,EXP,Investigator,fish,animal,NA
