id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
291693,can you see some letters there,MOT,Mother,letter,NA,NA
291718,what letters do you know,MOT,Mother,letter,alphabet,know
291758,it's hard to read those letters Child because they're little,MOT,Mother,letter,alphabet,read
291766,you only know big letters,MOT,Mother,letter,alphabet,know
291776,how about the letters on your shirt,INV,Investigator,letter,alphabet,NA
291798,do you have some letters on your shirt,MOT,Mother,letter,alphabet,have on
291837,it's easier to read the letters on the refrigerator right,MOT,Mother,letter,alphabet,read
295127,it's only got three letters instead of the abc's like that has all the letters,MOT,Mother,letter,alphabet,have
295152,yep the letters run off the tree,MOT,Mother,letter,NA,NA
296148,oh you're gonna show Investigator the letters,MOT,Mother,letter,NA,NA
296212,oh the letter a,MOT,Mother,letter,alphabet,NA
296265,oh such pretty letters,INV,Investigator,letter,NA,NA
296447,do you know which letter goes first for your name,MOT,Mother,letter,alphabet,NA
298610,yeah because Tziporah's always very involved in writing letters of the alphabet,MOT,Mother,letter,alphabet,write
301225,you wanna play with these letters,MOT,Mother,letter,NA,NA
302258,right those are abc's can you find some letters that you know,MOT,Mother,letter,alphabet,find
302311,those are blue letters right,MOT,Mother,letter,NA,NA
302353,what color are those letters over there,MOT,Mother,letter,NA,NA
302373,look at those pretty letters,INV,Investigator,letter,NA,NA
302380,are there letters in here,MOT,Mother,letter,NA,NA
302505,do you know what that letter is,MOT,Mother,letter,NA,NA
302582,let's see do you know some of these letters,MOT,Mother,letter,alphabet,know
302688,xxx favorite letter,MOT,Mother,letter,NA,NA
304187,what letter is that,MOT,Mother,letter,NA,NA
304313,what's that letter,ADU,Adult,letter,NA,NA
304456,come over here and finish your letters,MOT,Mother,letter,NA,NA
304925,what about your letters,MOT,Mother,letter,NA,NA
305036,what letter is this,MOT,Mother,letter,NA,NA
305074,what letter is that,MOT,Mother,letter,NA,NA
305147,what letter is this,MOT,Mother,letter,NA,NA
305173,no what letter is this,MOT,Mother,letter,NA,NA
305250,what letter is this,MOT,Mother,letter,NA,NA
305281,what letter,MOT,Mother,letter,NA,NA
305331,what letter is it,MOT,Mother,letter,NA,NA
307299,what's your favorite letter Bert,MOT,Mother,letter,alphabet,NA
307401,I don't think you can make an a b c out_of mommy's hair I think o is just about the only letter that you can do,MOT,Mother,letter,alphabet,NA
307782,what's your favorite letter Bert,MOT,Mother,letter,alphabet,NA
307799,what's your favorite letter Bert,MOT,Mother,letter,alphabet,NA
307884,what's your favorite letter,MOT,Mother,letter,alphabet,NA
309095,letters,MOT,Mother,letter,NA,NA
309107,here tell me the letters,MOT,Mother,letter,NA,NA
309569,what letter was that,MOT,Mother,letter,NA,NA
320707,what's the first letter,MOT,Mother,letter,NA,NA
327449,now are you gonna play the teacher and point out all the letters,MOT,Mother,letter,alphabet,point out
330814,and letter and a lap to sit on,MOT,Mother,letter,NA,NA
330867,what's this letter,MOT,Mother,letter,NA,NA
330883,what's the letter,MOT,Mother,letter,alphabet,NA
330887,and it is an owl what's that letter,MOT,Mother,letter,alphabet,NA
330909,what's this letter,MOT,Mother,letter,alphabet,NA
330917,what's that letter,MOT,Mother,letter,alphabet,NA
330919,and what's this letter,MOT,Mother,letter,alphabet,NA
330955,what's that letter,MOT,Mother,letter,alphabet,NA
330966,okay what's this letter Cindy,MOT,Mother,letter,alphabet,NA
330971,it's the letter okay,MOT,Mother,letter,alphabet,be
333310,what's this letter,MOT,Mother,letter,NA,NA
333340,can you find me a letter,MOT,Mother,letter,alphabet,find
333379,you don't wanna do letters,MOT,Mother,letter,NA,NA
334694,okay let's see if we can find out some other letters what's this,MOT,Mother,letter,alphabet,find out
334723,you know what this letter is,MOT,Mother,letter,alphabet,NA
336533,Gail can you tell me what these letters are,MOT,Mother,letter,alphabet,NA
336539,that's your favorite letter,MOT,Mother,letter,alphabet,be
337238,what letter is that,MOT,Mother,letter,NA,NA
337292,Gail what's that letter,MOT,Mother,letter,NA,NA
343266,see the letter p,MOT,Mother,letter,alphabet,see
349228,but she was interested in reading the blocks and she knew something for every letter,NAN,Investigator,letter,NA,NA
349410,it's a weird letter,MOT,Mother,letter,NA,NA
350001,put a s here for Shem is that your letter,INV,Investigator,letter,alphabet,NA
352758,what's this letter,INV,Investigator,letter,NA,NA
353802,this is letters,INV,Investigator,letter,alphabet,be
354076,like this with the letters,INV,Investigator,letter,mail,NA
354263,oh look at how far he hadta go to bring this letter,INV,Investigator,letter,mail,bring
354546,see there he looks so hot it's a hot day out there so he's wiping off his forehead here's this little guy with the purple face here getting his letter doesn't he look tired,INV,Investigator,letter,NA,NA
363470,it's the letters you know abcdefg you know that,INV,Investigator,letter,alphabet,be
363518,yeah you know what this letter is don't you,INV,Investigator,letter,alphabet,NA
367546,c is my letter,INV,Investigator,letter,alphabet,be
367713,yeah it's a basket full of letters,INV,Investigator,letter,alphabet,NA
367738,Cricter's making letters do you know what this is what this letter is,MRX,Adult,letter,NA,NA
367781,right what letter is this,INV,Investigator,letter,NA,NA
367795,do you know the letter,INV,Investigator,letter,NA,NA
367826,his tail that's Cricter he's making a letter you know what letter that is,MRX,Adult,letter,NA,NA
367853,that's right know which letter this is,MRX,Adult,letter,NA,NA
368012,which letter is this,MRX,Adult,letter,alphabet,NA
368193,and what other letters are good,INV,Investigator,letter,alphabet,NA
368351,some letters,MOT,Mother,letter,alphabet,NA
368479,what letter is that,MOT,Mother,letter,alphabet,NA
368744,do you know these letters,INV,Investigator,letter,NA,NA
370153,the little square ones with the letter on it,FAT,Father,letter,NA,NA
371121,you were pressing that little button so the letters would go around,MOT,Mother,letter,NA,NA
371704,what what other letters do you see there,FAT,Father,letter,NA,NA
372780,those are letters,FAT,Father,letter,NA,NA
385981,letters,INV,Investigator,letter,NA,NA
385996,a piece of paper with letters on it,INV,Investigator,letter,alphabet,NA
386047,someone sent us a letter in a bottle,INV,Investigator,letter,mail,send
386062,no not a letter a note,INV,Investigator,letter,NA,NA
390038,see those letter blocks over there,INV,Investigator,letter,NA,NA
390053,why don't you get one of those and we can push into the play+dough with that and make a letter,INV,Investigator,letter,NA,NA
390084,no the ones the ones with the letters on them see t and j and s,INV,Investigator,letter,alphabet,NA
390293,what do those letters do,INV,Investigator,letter,NA,NA
390796,you know what letter this is,INV,Investigator,letter,NA,NA
390873,that's my letter,INV,Investigator,letter,NA,NA
