id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
9970228,do you want some of this turkey,MOT,Mother,turkey,food,NA
2515799,so when you were at school today did you have turkey today at school,MOT,Mother,turkey,food,NA
2458722,you gonna bite some turkey,MOT,Mother,turkey,food,NA
1689945,says the turkeys,MOT,Mother,turkey,animal,NA
2661299,you like turkey bologna,MOT,Mother,turkey,food,NA
2739480,this is a turkey gobble gobble gobble gobble gobble,MOT,Mother,turkey,animal,NA
17156824,turkey and poults,MOT,Mother,turkey,animal,NA
16931801,oh_my_goodness there's a turkey to eat,MOT,Mother,turkey,food,NA
1099512,xxx have more turkey,GRF,Grandfather,turkey,food,NA
17041262,gobble gobble gobble turkeys don't nurse,FAT,Father,turkey,animal,NA
2723555,what does a turkey say,MOT,Mother,turkey,animal,NA
2244817,wild turkeys,MOT,Mother,turkey,animal,NA
1700366,turkey says gobble gobble gobble,MOT,Mother,turkey,animal,NA
2730139,what does a turkey say,MOT,Mother,turkey,animal,NA
9052824,left over turkey,MOT,Mother,turkey,food,NA
2745927,does the turkey have a friend,MOT,Mother,turkey,animal,NA
2798895,and then at the farm we've seen a peacock and turkeys,MOT,Mother,turkey,animal,NA
483209,you wanna make the turkey,MOT,Mother,turkey,food,NA
16846029,gobble gobble says the turkey,MOT,Mother,turkey,animal,NA
905732,what are you a turkey,FAT,Father,turkey,animal,NA
16997660,and that's a turkey wearing a jacket,MOT,Mother,turkey,animal,NA
971809,will you have a piece of turkey turkey roll piece of chicken,MOT,Mother,turkey,food,NA
1371505,have we ever had turkey before,MOT,Mother,turkey,food,NA
1056222,ducks eat barley and the turkey eats wheat,MOT,Mother,turkey,animal,NA
16964402,xxx up in the air the turkey did fly,MOT,Mother,turkey,animal,NA
922375,it's stuff that's put inside the turkey,MOT,Mother,turkey,food,NA
715876,what does a turkey say,FAT,Father,turkey,animal,NA
2091368,see if we can make the turkey talk,MOT,Mother,turkey,animal,NA
1371347,think that's a baby turkey,MOT,Mother,turkey,animal,NA
2484048,turkey with chocolate chips,LAU,Investigator,turkey,food,NA
483272,where should the face of the turkey be,MOT,Mother,turkey,animal,NA
2091396,maybe the turkey doesn't wanna talk to us,MOT,Mother,turkey,animal,NA
649791,they made chocolate turkeys,MOT,Mother,turkey,food,NA
748684,what does the turkey say,FAT,Father,turkey,animal,NA
1055759,says the turkey,MOT,Mother,turkey,animal,NA
2719091,gobble turkey,MOT,Mother,turkey,animal,NA
9531428,that's the noise the turkey makes,MOT,Mother,turkey,animal,NA
758401,what does a turkey say,FAT,Father,turkey,animal,NA
2616394,we'll put that turkey and cheese on the sandwich and some bread on top,MOT,Mother,turkey,food,NA
16981401,are we gonna eat turkey on Thanksgiving,MOT,Mother,turkey,food,NA
17156884,male turkeys are called Toms,MOT,Mother,turkey,animal,NA
2515807,when did you have turkey at school,MOT,Mother,turkey,food,NA
16895339,that's a turkey gabil gabil gabil,MOT,Mother,turkey,animal,NA
2162485,turkey says,MOT,Mother,turkey,animal,NA
9208869,a turkey is a funny bird,MOT,Mother,turkey,animal,NA
1370179,turkeys are feathers,MOT,Mother,turkey,animal,NA
16786352,um do you want sandwiches tonight or do you want more turkey like do you want turkey,MOT,Mother,turkey,food,NA
2793105,yeah I mean a handful like the turkey and the peacock um there are a whole bunch in here that we don't have because they're not the same collection,MOT,Mother,turkey,animal,NA
2710493,we're gonna have some turkey in a couple days,MOT,Mother,turkey,food,NA
715888,what does what does a turkey say,FAT,Father,turkey,animal,NA
17151772,the Easter turkey chapter,MOT,Mother,turkey,food,NA
