id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
330599,a bat,MOT,Mother,bat,NA,NA
346615,these are bats,INV,Investigator,bat,NA,NA
346634,bats,INV,Investigator,bat,NA,NA
353575,good you can bat it hard okay I'm gonna get the ball,INV,Investigator,bat,NA,NA
354652,you went bad bat okay,INV,Investigator,bat,NA,NA
368925,you go phooo and hit the ball with the bat,INV,Investigator,bat,object,hit with
368962,no this is a bat and this is something sharp that you try to break up the rocks with it's called a pick,INV,Investigator,bat,NA,NA
376590,it's called bat be ball,INV,Investigator,bat,object,call
379197,and they jumped at the snow with long rakes and red bats,INV,Investigator,bat,object,jump with
386769,no baseball bats,INV,Investigator,bat,object,NA
507867,and bat girl,BRO,Brother,bat,animal,NA
507887,and bat girl too,MOT,Mother,bat,animal,NA
553806,git da bat,MOT,Mother,bat,object,get
553825,xxx bat tennis racquet whatever it is,BRO,Brother,bat,object,NA
554072,I need a bat,MOT,Mother,bat,object,need
564464,ball and I pitch to him with this uh plastic bat and I got,FAT,Father,bat,object,have
565179,you won't be able to to teach him how to hold the bat,FAT,Father,bat,object,hold
565201,I never hadta show Jason how to hold the bat,FAT,Father,bat,object,hold
572506,you xxx ding bat,BRO,Brother,bat,NA,NA
579438,that looks more like a bat than an eagle to me,EXP,Investigator,bat,animal,look like
579562,but the face looks like a eagle and the rest of it looks like a bat,SIS,Sister,bat,animal,look like
585893,put her bat and ball on top of the refrigerater from Tisha,FCH,Child,bat,object,put on
589691,put it in your bat and ball,FCH,Child,bat,object,put in
589752,bat and ball,FCH,Child,bat,object,NA
590587,no Aquaman is stronger than Batman no Batman a strong bat xxx ow,MCH,Child,bat,animal,NA
592926,wait a minute lemme try ta xxx Tisha popped her bat and ball now it can't be fixed no more,FCH,Child,bat,object,pop
633776,and this big old basket that he keeps his bats in,EXP,Investigator,bat,object,keep in
638098,yours is broke too everybody's bat raw xxx is broke,FCH,Child,bat,NA,NA
670197,no I certainly would not like my blood to be sucked by a bat,MOT,Mother,bat,animal,suck
670667,would I like to be blood sucked by a bat,MAD,Adult,bat,animal,suck
685962,we're not playing bat man,FCH,Child,bat,animal,NA
736009,no just fall on the floor twinkle twinkle liddle bat how I wonder where you're at,MOT,Mother,bat,NA,NA
739669,not with a baseball bat it's it's like this,FCH,Child,bat,object,NA
743027,you get bat,FCH,Child,bat,animal,get
743135,the bat,FCH,Child,bat,animal,NA
743451,can I you I I hold the bat and you hold this,FCH,Child,bat,object,hold
743888,you take the bat while I look under the bed,FCH,Child,bat,object,take
747961,ah I can think of two things right off the bat,FAT,Father,bat,NA,NA
779410,the bat,FAT,Father,bat,NA,NA
779417,we got tired of this so we he held the bat this and I hadta throw it on the bat,FAT,Father,bat,NA,NA
839717,oh look at the bats riding around her,MOT,Mother,bat,animal,look at
840559,those are called bats,MOT,Mother,bat,animal,call
840605,they're called bats,MOT,Mother,bat,animal,call
841267,did we see a bat,MOT,Mother,bat,animal,see
841285,no I don't think we did see a bat this halloween did we,MOT,Mother,bat,animal,see
844188,and what are the bats doing,MOT,Mother,bat,animal,do
844426,where should we put the bats,MOT,Mother,bat,NA,NA
844589,and now who's going above the bat,MOT,Mother,bat,NA,NA
906434,what about bats,MOT,Mother,bat,animal,NA
906459,bats live in a cave,MOT,Mother,bat,animal,NA
913300,it sounded just like a bat,MOT,Mother,bat,animal,sound like
913351,I heard a bird that sounded like a bat,MOT,Mother,bat,animal,sound like
932070,you found a bat that you made,FAT,Father,bat,NA,NA
932089,oh that's my bat,FAT,Father,bat,NA,NA
934147,when did you get that baseball bat Abe,FAT,Father,bat,object,get
934207,do you think that's a baseball bat,FAT,Father,bat,object,be
934685,here you can use this for a bat okay,FAT,Father,bat,object,use
952754,you're a flying bat,FAT,Father,bat,animal,be
956968,oh the bat tries to run away,FAT,Father,bat,player,NA
959604,don't throw your bat down the stairs,FAT,Father,bat,object,throw
976814,a bat,FAT,Father,bat,NA,NA
1032379,you like to bat,MOT,Mother,bat,NA,NA
1065688,Teddy brought some funny little puppets and Charles Charlotte brought a baseball and bat,MOT,Mother,bat,object,bring
1066493,and a bat,MOT,Mother,bat,animal,NA
1145063,bats,MOT,Mother,bat,animal,NA
1154293,great leaping bat wings shouted Madame M when she saw Donald on her broom,MOT,Mother,bat,animal,NA
1359854,there's a bat,MOT,Mother,bat,animal,be
1361703,these animals are called bats,MOT,Mother,bat,animal,call
1361748,a bat see a bat,MOT,Mother,bat,animal,see
