word,sense,n_insts,acc
band,band_object,6,0.166667
band,band_music_group,8,1.000000
band,ALL,14,0.642857
bat,bat_animal,6,0.500000
bat,bat_object,8,0.625000
bat,ALL,14,0.571429
bow,bow_knot,6,0.666667
bow,bow_weapon,8,0.750000
bow,ALL,14,0.714286
button,button_tech,4,0.250000
button,button_clothing,6,0.333333
button,ALL,10,0.300000
card,card_playing,2,1.000000
card,card_note,2,0.500000
card,ALL,4,0.750000
chicken,chicken_animal,4,1.000000
chicken,chicken_food,6,0.833333
chicken,ALL,10,0.900000
fish,fish_animal,2,1.000000
fish,fish_food,2,0.000000
fish,ALL,4,0.500000
glasses,glasses_eye,4,0.750000
glasses,glasses_drinking,6,0.500000
glasses,ALL,10,0.600000
lamb,lamb_animal,2,1.000000
lamb,lamb_food,2,1.000000
lamb,ALL,4,1.000000
letter,letter_alphabet,6,0.000000
letter,letter_mail,8,1.000000
letter,ALL,14,0.571429
line,line_geometry,4,0.750000
line,line_order,6,0.500000
line,ALL,10,0.600000
nail,nail_body_part,4,0.250000
nail,nail_object,6,1.000000
nail,ALL,10,0.700000
turkey,turkey_animal,2,1.000000
turkey,turkey_food,2,1.000000
turkey,ALL,4,1.000000
