word,sense,n_insts,acc
band,band_object,6,0.500000
band,band_music_group,8,1.000000
band,ALL,14,0.785714
bat,bat_animal,6,0.500000
bat,bat_object,8,0.750000
bat,ALL,14,0.642857
bow,bow_knot,6,0.500000
bow,bow_weapon,8,0.625000
bow,ALL,14,0.571429
button,button_tech,4,1.000000
button,button_clothing,6,0.666667
button,ALL,10,0.800000
card,card_playing,2,1.000000
card,card_note,2,0.500000
card,ALL,4,0.750000
chicken,chicken_animal,4,0.000000
chicken,chicken_food,6,1.000000
chicken,ALL,10,0.600000
fish,fish_animal,2,1.000000
fish,fish_food,2,0.000000
fish,ALL,4,0.500000
glasses,glasses_eye,4,0.750000
glasses,glasses_drinking,6,0.833333
glasses,ALL,10,0.800000
lamb,lamb_animal,2,1.000000
lamb,lamb_food,2,1.000000
lamb,ALL,4,1.000000
letter,letter_alphabet,6,0.166667
letter,letter_mail,8,1.000000
letter,ALL,14,0.642857
line,line_geometry,4,0.500000
line,line_order,6,1.000000
line,ALL,10,0.800000
nail,nail_body_part,4,0.250000
nail,nail_object,6,1.000000
nail,ALL,10,0.700000
