word,sense,n_insts,acc
band,band_object,6,0.333333
band,band_music_group,8,1.000000
band,ALL,14,0.714286
bat,bat_animal,6,0.833333
bat,bat_object,8,0.750000
bat,ALL,14,0.785714
bow,bow_knot,6,0.333333
bow,bow_weapon,8,0.750000
bow,ALL,14,0.571429
button,button_tech,4,1.000000
button,button_clothing,6,0.833333
button,ALL,10,0.900000
chicken,chicken_animal,4,0.250000
chicken,chicken_food,6,0.833333
chicken,ALL,10,0.600000
glasses,glasses_eye,4,0.750000
glasses,glasses_drinking,6,0.666667
glasses,ALL,10,0.700000
letter,letter_alphabet,6,0.166667
letter,letter_mail,8,1.000000
letter,ALL,14,0.642857
line,line_geometry,4,0.750000
line,line_order,6,0.833333
line,ALL,10,0.800000
nail,nail_body_part,4,0.500000
nail,nail_object,6,0.833333
nail,ALL,10,0.700000
