word,sense,n_insts,acc
band,band_object,6,0.500000
band,band_music_group,8,1.000000
band,ALL,14,0.785714
bat,bat_animal,6,0.666667
bat,bat_object,8,0.625000
bat,ALL,14,0.642857
bow,bow_knot,6,0.333333
bow,bow_weapon,8,0.750000
bow,ALL,14,0.571429
button,button_tech,4,0.500000
button,button_clothing,6,0.500000
button,ALL,10,0.500000
chicken,chicken_animal,4,1.000000
chicken,chicken_food,6,0.666667
chicken,ALL,10,0.800000
glasses,glasses_eye,4,0.750000
glasses,glasses_drinking,6,0.666667
glasses,ALL,10,0.700000
letter,letter_alphabet,6,0.166667
letter,letter_mail,8,1.000000
letter,ALL,14,0.642857
line,line_geometry,4,0.500000
line,line_order,6,0.833333
line,ALL,10,0.700000
nail,nail_body_part,4,0.250000
nail,nail_object,6,1.000000
nail,ALL,10,0.700000
