id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
8543179,are you still drawing Grandad's card,MOT,Mother,card,note,NA
740191,let him play wid your cards,BRO,Brother,card,playing,NA
8779370,well perhaps the letters now that you've got in your sack are all the thank you letters that Isabel has written to thank people for their cards and presents,MOT,Mother,card,note,NA
519559,Bobby now we make it uh valentine cards for our friends too,TEA,Teacher,card,note,NA
1873365,you're sposta copy it down here like you did last night on that birthday card,MOT,Mother,card,note,NA
8520338,he's looking for choo_choos on Mummy's birthday cards but Mummy's more into flowers and pussy+cats and teddy+bears I think,MOT,Mother,card,note,NA
2208113,you want the card you gave me for Mother's Day,MOT,Mother,card,note,NA
846156,oh what's on this birthday card,MOT,Mother,card,note,NA
732902,buy you some baseball cards,BRO,Brother,card,playing,NA
8726612,we've got quite a few Christmas cards on the mantlepiece and on the bureau,MOT,Mother,card,note,NA
8785406,a big parcel a letter and a card,MOT,Mother,card,note,NA
10128587,these are your flash cards,INV,Investigator,card,playing,NA
8659763,leave the lid open and then put the stamp onto the ink and then onto the card,MOT,Mother,card,note,NA
8522305,byebye birthday cards,MOT,Mother,card,note,NA
1795901,you're riding a birthday card,FAT,Father,card,note,NA
8951820,we'll shuffle the cards in a minute,MOT,Mother,card,playing,NA
8713958,Christmas cards Thomas,MOT,Mother,card,note,NA
599501,yeah I'm making you a valentine card too,BRO,Brother,card,note,NA
8686033,because Tony's the man that'll be delivering most of our Christmas cards this year,MOT,Mother,card,note,NA
17166340,we'll make Gracie a birthday card,MOT,Mother,card,note,NA
8817105,would you like to have a look at the birthday card we bought this morning,MOT,Mother,card,note,NA
2237731,that's the card Henry gave Mommy on Mother's Day,MOT,Mother,card,note,NA
9073011,blue tacking all the Christmas cards up,MOT,Mother,card,note,NA
804084,here's a birthday card that Nonna sent to Nina,MOT,Mother,card,note,NA
8930895,do you remember flash cards,MOT,Mother,card,playing,NA
9224399,shall we write this card out,MOT,Mother,card,note,NA
823490,oh Nina's doll house is all full of Christmas cards,MOT,Mother,card,note,NA
8176986,Andy with his Teletubbies card,MOT,Mother,card,playing,NA
8686956,when everyone's sending one another Christmas cards,MOT,Mother,card,note,NA
503736,the birthday card,EXP,Investigator,card,note,NA
858105,you showing Snoopy the birthday card,MOT,Mother,card,note,NA
604420,do you wanna make a card for her,MOT,Mother,card,note,NA
8894239,this card came through the post,MOT,Mother,card,note,NA
17031461,you're mixing up the song with the game with the cards,MOT,Mother,card,playing,NA
855910,where's the big card that Nonna brought you,MOT,Mother,card,note,NA
8824500,I bet he's going to rescue that pussy cat up the tree like on the birthday card that Pwww sent you don't you,MOT,Mother,card,note,NA
729809,I'm gonna shuffle the cards this time,TEA,Teacher,card,playing,NA
723994,Robbie's looking not apposed to look at the cards,MCH,Child,card,playing,NA
655583,you hafta pick two cards,BRO,Brother,card,playing,NA
9220434,are you g what are you going to write on my birthday card,MOT,Mother,card,note,NA
856695,let me see your birthday cards,MOT,Mother,card,note,NA
9967534,a thank you card,DAD,Father,card,note,NA
8667572,and they've sent in a birthday card with a picture of Thomas_The_Tank_Engine and the little boy whose birthday it is driving it,MOT,Mother,card,note,NA
8742150,it's a Christmas card,MOT,Mother,card,note,NA
8726069,shall we have a look at some Christmas cards that came today,MOT,Mother,card,note,NA
8961362,and look we've got a nice card here with xxx envelopes,MOT,Mother,card,note,NA
9013539,it would be nice to send little cards to people like Anthony and Samara and Matthew and Alan,MOT,Mother,card,note,NA
2549173,I just have some flash cards maybe we can maybe we can ask him to xxx,FAT,Father,card,playing,NA
1897502,we were playing Pokino the other night and she was calling off the cards,FAT,Father,card,playing,NA
8529534,Mummy wants you to put some handprints on some cards that she wants to send to people,MOT,Mother,card,note,NA
652028,let Melissa deal the cards,MOT,Mother,card,playing,NA
17022663,and we have lots and lots_of animal cards in here,MOT,Mother,card,playing,NA
16961488,you know what you could write um Trevor's card his birthday card you wanna draw a picture on his birthday card,MOT,Mother,card,note,NA
8676142,are they birthday cards,MOT,Mother,card,note,NA
8871484,perhaps they don't make Bob_the_Builder cards yet,MOT,Mother,card,playing,NA
8340919,you tell us what the pictures are when you get the cards out,MOT,Mother,card,playing,NA
10024918,and what you do is you take a card and you take a nose and you see if they match up,DAD,Father,card,playing,NA
