id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
291172,what about chickens,MOT,Mother,chicken,animal,NA
291520,oh the chicken caught the duck,MOT,Mother,chicken,animal,catch
293736,this girl has chicken pox,MOT,Mother,chicken,NA,NA
293826,Child you know who has chicken pox now,MOT,Mother,chicken,NA,NA
293870,Cristine got the chicken pox now,MOT,Mother,chicken,NA,NA
294921,I think this is probably a chicken though,MOT,Mother,chicken,NA,NA
295024,chicken,MOT,Mother,chicken,NA,NA
295077,chicken right,MOT,Mother,chicken,NA,NA
299799,it's not a chicken,MOT,Mother,chicken,NA,NA
306663,a green chicken,MOT,Mother,chicken,food,NA
320154,how about some chicken Child,INV,Investigator,chicken,NA,NA
320189,how about making some chicken,INV,Investigator,chicken,food,make
320216,a red chicken,INV,Investigator,chicken,food,NA
320267,a green chicken,MOT,Mother,chicken,food,NA
320285,a rotten chicken,INV,Investigator,chicken,food,NA
320298,alright a green chicken sounds good,MOT,Mother,chicken,food,NA
320312,green chicken with relish or something,MOT,Mother,chicken,food,NA
320365,delicious mm what good chicken,MOT,Mother,chicken,food,NA
320507,chicken and tomatoes,MOT,Mother,chicken,food,NA
323607,it doesn't look like chicken soup,MOT,Mother,chicken,NA,NA
323642,what kind of chicken soup do you eat,INV,Investigator,chicken,NA,NA
323658,red chicken soup,INV,Investigator,chicken,NA,NA
334129,some chickens and a rooster,MOT,Mother,chicken,animal,NA
337730,a chicken,MOT,Mother,chicken,NA,NA
337950,why don't you like the chicken,MOT,Mother,chicken,food,like
337977,you can make the rooster talk to the chicken,INV,Investigator,chicken,NA,NA
340342,there's a horse cow turkey chicken,MOT,Mother,chicken,animal,be
342489,here comes a chicken,MOT,Mother,chicken,animal,NA
342497,and the chicken sees a great big egg,MOT,Mother,chicken,animal,NA
342506,and the chicken sits on the egg,MOT,Mother,chicken,animal,NA
342536,did we see a chicken today,MOT,Mother,chicken,animal,see
342577,did we see some little tiny chickens trying to come out_of some eggs,MOT,Mother,chicken,animal,see
344497,ya want some more chicken,MOT,Mother,chicken,food,want
346338,a chickens,INV,Investigator,chicken,NA,NA
346345,two little chickens in their nest,INV,Investigator,chicken,animal,NA
346362,that's right and here's another chicken too what's this guy,INV,Investigator,chicken,animal,be
