id,gloss,speaker_code,speaker_role,ambiguous_word,ambiguous_meaning,ambiguous_verb_final_noun
328451,but he's gonna trip on his shoelaces tie some bows,MOT,Mother,bow,knot,tie
334996,can you bring that bow over here and let mommy kiss him,MOT,Mother,bow,NA,NA
335004,can mommy kiss the bow,MOT,Mother,bow,NA,NA
336913,I like the bows on your sleeve there,INV,Investigator,bow,knot,like
337005,well you've got the ribbons but not the bows,INV,Investigator,bow,knot,have
344323,is that a bow,MOT,Mother,bow,NA,NA
375349,you will like these two things said the cat with a bow,INV,Investigator,bow,knot,NA
530968,I tied it in a bow,FAD,Adult,bow,knot,tie in
531050,I tied it in a bow,FAD,Adult,bow,knot,tie in
538497,bow,MCH,Child,bow,NA,NA
543289,Cupid draw back your bow,TEL,Media,bow,weapon,draw back
551250,ready to bow or curtsy,TEA,Teacher,bow,NA,NA
576527,xxx he has a bow and arrow,FCH,Child,bow,weapon,have
576548,I got a bow and arrow too,MCH,Child,bow,weapon,get
577950,I will show you now oh wait in this box there are two things I will show you now you will you will like these two things said the cat with a bow,EXP,Investigator,bow,knot,NA
579574,before we eat we bow our head to thank thee lord for daily bread amen,BRO,Brother,bow,NA,NA
579593,we eat we bow our head to thank thee lord for daily bread amen,SIS,Sister,bow,NA,NA
593977,no you don't need a bow,TEA,Teacher,bow,NA,NA
594940,you don't need a bow remember just a,TEA,Teacher,bow,knot,need
595148,bow our heads,SIS,Sister,bow,NA,NA
618245,or you had a a bow in your hair when you went out to dinner,MOT,Mother,bow,knot,have
640617,bow,BRO,Brother,bow,NA,NA
650794,said the cat with a bow,MOT,Mother,bow,knot,NA
669027,bow baoo bow bahoh ba bae ba bae ba bae ba bae,MCH,Child,bow,NA,NA
690518,take your bows Richard,TEA,Teacher,bow,NA,NA
762178,and when I plugged the station in it went bow explosion and da airplane started smoking and da fuse went out,FAT,Father,bow,NA,NA
791093,what you forgot to put a bow in her hair,ADU,Adult,bow,knot,put in
791099,you've got a bow in your hair,ADU,Adult,bow,knot,have
792093,a pretty bow for her hair,ADU,Adult,bow,knot,NA
798691,you want a bow,ADU,Adult,bow,knot,want
798720,oh that's a pretty bow Rachel,ADU,Adult,bow,NA,NA
801252,pretty little bow,ADU,Adult,bow,NA,NA
808347,who goes bow bow bow,MOT,Mother,bow,NA,NA
808375,who does bow wow,MOT,Mother,bow,NA,NA
813801,in a bow,MOT,Mother,bow,NA,NA
842332,there we made a bow,MOT,Mother,bow,NA,NA
852925,tie a bow now,MOT,Mother,bow,knot,tie
853202,can you make a bow,MOT,Mother,bow,NA,NA
902246,see you bow,MOT,Mother,bow,NA,NA
922596,Abe do you want me to make you a huge bow,MOT,Mother,bow,knot,make
928451,oh you like your bow and arrow,FAT,Father,bow,weapon,like
929293,yeah Robin_Hood has a bow and arrow just like yours,FAT,Father,bow,weapon,have
929329,the bow,FAT,Father,bow,NA,NA
929353,this is a bow,FAT,Father,bow,NA,NA
937167,where did you get this bow and arrow,FAT,Father,bow,weapon,get
940386,hey look Robin_Hood has a knife and a bow and arrow,MOT,Mother,bow,weapon,have
949095,what bow and arrow,FAT,Father,bow,weapon,NA
950050,do you think the lighter the bow or the heavier the bow,FAT,Father,bow,NA,NA
952633,the bow,MOT,Mother,bow,NA,NA
953050,do you mean a bow,FAT,Father,bow,NA,NA
1004157,a real bow and arrow,MOT,Mother,bow,weapon,NA
1059812,from deep inside he pulled out a big red bow he'd found on the ground,MOT,Mother,bow,weapon,pull out
1064664,put the little bow up there,MOT,Mother,bow,NA,NA
1123024,or a bow,MOT,Mother,bow,NA,NA
1144366,here is the family genius Is Isinbard bow wow Bruno,MOT,Mother,bow,NA,NA
1162999,it's a xxx bikini xxx white xxx skirt in the back and at the bottom there's a bow,SIS,Sister,bow,knot,be
1163007,and she got a white shirt to match it and in the back there's a bow at the bottom of the shirt,SIS,Sister,bow,knot,be
1170073,and at the bottom there's a bow,SIS,Sister,bow,knot,be
1170093,and in the back there's a bow at the bottom of the shirt,SIS,Sister,bow,knot,be
1361652,bow wow,MOT,Mother,bow,NA,NA
1381097,a bow,MOT,Mother,bow,knot,NA
1381113,do you see very many boys wear bows,MOT,Mother,bow,knot,wear
1382098,yeah because she's got a bow and long hair and a skirt,MOT,Mother,bow,knot,have
1383844,little bows,MOT,Mother,bow,NA,NA
1383878,like your bow,MOT,Mother,bow,NA,NA
1385744,look she's got bows in her braids,MOT,Mother,bow,knot,have
1386834,it's a bow,MOT,Mother,bow,NA,NA
1386917,yeah the bow is pink that's right,MOT,Mother,bow,NA,NA
1391798,bows,MOT,Mother,bow,NA,NA
1519970,see his big bow tie,MOT,Mother,bow,knot,see
1535289,he does have a big bow,MOT,Mother,bow,NA,NA
1611476,her bow,MOT,Mother,bow,knot,NA
1611479,it's kind of like a bow yeah,MOT,Mother,bow,knot,be like
1612692,a bow tie,MOT,Mother,bow,knot,NA
1638629,a little bow in her hair and her shoes on and a little dress,MOT,Mother,bow,knot,NA
1638692,look at the pretty bow in her hair pretty,MOT,Mother,bow,knot,look at
1638927,bow wow wow wow,MOT,Mother,bow,NA,NA
1659596,bow wow and there's a yellow dog,MOT,Mother,bow,NA,NA
1667456,I think she has a bow in her hair,MOT,Mother,bow,knot,have
1677476,we can tie the bow,MOT,Mother,bow,knot,tie
1677504,bow,MOT,Mother,bow,knot,NA
1677521,bow,MOT,Mother,bow,knot,NA
1678150,he's got a hair bow,MOT,Mother,bow,knot,have
1678164,bow,MOT,Mother,bow,knot,NA
1678171,see her hair bow,MOT,Mother,bow,knot,see
1679907,you trying to tie her bow,MOT,Mother,bow,knot,tie
1681751,see Minnie has a hair bow and Mickey doesn't have a hair bow,MOT,Mother,bow,knot,see
1688837,some other dogs go bow wow wow,MOT,Mother,bow,NA,NA
1689029,there's the puppies that go bow wow wow and ruff ruff ruff,MOT,Mother,bow,NA,NA
1696974,some other dogs go bow wow wow,MOT,Mother,bow,NA,NA
1701852,bow wow wow,MOT,Mother,bow,NA,NA
1703508,Melissa brought it in where she could comb the pony's hair can you get me your hair bow,MOT,Mother,bow,knot,get
1704224,get your hair out_of your face please I wanna put your hair bow back in,MOT,Mother,bow,knot,put back
1711981,here's the zipper zip it back up retie the bow,MOT,Mother,bow,NA,NA
1712139,can you tie the bow,MOT,Mother,bow,knot,tie
1714866,okay here's your bow,MOT,Mother,bow,NA,NA
1715488,go get me a hair bow please your hair is driving me crazy get me a hair bow,MOT,Mother,bow,knot,get
1727542,bow wow wow,SIB,Sister,bow,NA,NA
1728765,putting a bow in her hair,MOT,Mother,bow,knot,put in
1736234,bow and arrow,MOT,Mother,bow,weapon,NA
1766012,a bow,MOT,Mother,bow,NA,NA
1767640,this is the bow,MOT,Mother,bow,NA,NA
1772535,Adam does it work with that little bow too,MOT,Mother,bow,NA,NA
1775511,well I don't think that's a bow,MOT,Mother,bow,NA,NA
1778376,you don't shoot it with a bow,MOT,Mother,bow,weapon,shoot with
1778399,oh do you shoot a spear with a bow,MOT,Mother,bow,weapon,shoot with
1781606,that's a beautiful bow,URS,Investigator,bow,NA,NA
1781644,here's your bow,URS,Investigator,bow,NA,NA
1790915,automatic bow and arrow,MOT,Mother,bow,weapon,NA
1819972,make a pretty bow,MOT,Mother,bow,NA,NA
1822804,do your bow,MOT,Mother,bow,NA,NA
1847882,I can't make a bow if you're not gonna if you're gonna hold it,MOT,Mother,bow,knot,make
1856478,oh I hafta buy bows for this side,MOT,Mother,bow,knot,buy
1860002,ow ow bow,MOT,Mother,bow,NA,NA
1885727,bows are hard,MEL,Investigator,bow,NA,NA
1893817,can I put a bow in there,FAT,Father,bow,NA,NA
1900752,bow to the queen,FAT,Father,bow,NA,NA
1948776,did they shoot cross bows and have fun,FAT,Father,bow,weapon,shoot
1948994,what kind of a bow did he have,FAT,Father,bow,NA,NA
1949008,do you know what a bow is Ross,FAT,Father,bow,weapon,NA
1949095,what kinds of of bows does Robin Hood have,FAT,Father,bow,weapon,have
1949112,a circle bow,FAT,Father,bow,weapon,NA
1949131,did he have any cross bows,FAT,Father,bow,weapon,have
1949148,he didn't have any cross bows,FAT,Father,bow,weapon,have
1949173,did he have any long bows,FAT,Father,bow,weapon,have
2034445,bow wow,MOT,Mother,bow,NA,NA
2054784,bow wow,FAT,Father,bow,NA,NA
2054794,bow wow,FAT,Father,bow,NA,NA
2100104,tied in a bow,FAT,Father,bow,knot,tie in
2100159,that looks like a bow to me,FAT,Father,bow,knot,look like
2144681,and a bow in her hair,MOT,Mother,bow,knot,NA
2149397,oh you got the bow tie,MOT,Mother,bow,knot,have
2179161,it's got a pretty bow on it huh,MOT,Mother,bow,NA,NA
2179197,it's got a pretty bow,MOT,Mother,bow,NA,NA
2209179,here's your pretty little bow,MOT,Mother,bow,knot,be
2209184,put your bow in your hair too,MOT,Mother,bow,knot,put in
2209196,can I take your bow,MOT,Mother,bow,NA,NA
2209232,look at that bow,MOT,Mother,bow,NA,NA
2222497,see there's her ear and her bow,MOT,Mother,bow,knot,be
2230053,we could put a bow,MOT,Mother,bow,NA,NA
2322421,I can make a I can make a bow rope,SIS,Sister,bow,knot,make
2324575,a little lamb with a bow,SIS,Sister,bow,knot,NA
2331431,squeak went the bow across the string,MOT,Mother,bow,knot,NA
2361898,the bow goes in the front,MOT,Mother,bow,knot,NA
2387463,bow to the horse,MOT,Mother,bow,NA,NA
2387470,bow to the cow,MOT,Mother,bow,NA,NA
